1,Fast Five,Action,Fast and Furious 5th Edition,2011,132,7.3,TheRock PaulWalker
2,Predestination,Thriller,Time travel movie with a plot twist,2014,97,7.5,SarahSnook EthanHawke
3,The Dark Knight,Action,Batman Movie Battling the Joker,2008,152,9.0,ChristianBale MorganFreeman
